modelo,fold,caracteristica,tipo_seleccion
XGBoost,1,rx5day_mm,SelectKBest_MI
XGBoost,1,max_3h_mm,SelectKBest_MI
XGBoost,1,sdii_mm_per_wet_day,SelectKBest_MI
XGBoost,1,r20mm_days,SelectKBest_MI
XGBoost,1,cwd_days,SelectKBest_MI
XGBoost,1,cdd_days,SelectKBest_MI
XGBoost,1,temperature_mean_c,SelectKBest_MI
XGBoost,1,relative_humidity_mean_pct,SelectKBest_MI
XGBoost,1,wind_mean_ms,SelectKBest_MI
XGBoost,1,surface_pressure_mean_hpa,SelectKBest_MI
XGBoost,1,latitud_solicitada,SelectKBest_MI
XGBoost,1,longitud_solicitada,SelectKBest_MI
XGBoost,1,target_month_sin,SelectKBest_MI
XGBoost,1,target_month_cos,SelectKBest_MI
XGBoost,1,prcptot_mm__lag1,SelectKBest_MI
XGBoost,1,prcptot_mm__lag11,SelectKBest_MI
XGBoost,1,rx5day_mm__lag1,SelectKBest_MI
XGBoost,1,rx5day_mm__lag11,SelectKBest_MI
XGBoost,1,max_3h_mm__lag1,SelectKBest_MI
XGBoost,1,max_3h_mm__lag11,SelectKBest_MI
XGBoost,1,sdii_mm_per_wet_day__lag1,SelectKBest_MI
XGBoost,1,sdii_mm_per_wet_day__lag11,SelectKBest_MI
XGBoost,1,r20mm_days__lag1,SelectKBest_MI
XGBoost,1,r20mm_days__lag11,SelectKBest_MI
XGBoost,1,cwd_days__lag1,SelectKBest_MI
XGBoost,1,cwd_days__lag11,SelectKBest_MI
XGBoost,1,cdd_days__lag1,SelectKBest_MI
XGBoost,1,cdd_days__lag11,SelectKBest_MI
XGBoost,1,temperature_mean_c__lag1,SelectKBest_MI
XGBoost,1,temperature_mean_c__lag11,SelectKBest_MI
XGBoost,1,relative_humidity_mean_pct__lag1,SelectKBest_MI
XGBoost,1,relative_humidity_mean_pct__lag11,SelectKBest_MI
XGBoost,1,wind_mean_ms__lag1,SelectKBest_MI
XGBoost,1,wind_mean_ms__lag11,SelectKBest_MI
XGBoost,1,surface_pressure_mean_hpa__lag1,SelectKBest_MI
XGBoost,1,surface_pressure_mean_hpa__lag11,SelectKBest_MI
XGBoost,1,region_Amazonía,contexto_categorico_siempre
