zone_id,target_period_start,fold,modelo,y_real,y_pred
esmeraldas,2006-09-01,1,Logistic_Regression,Media,Baja
guayaquil,2006-09-01,1,Logistic_Regression,Alta,Baja
loja,2006-09-01,1,Logistic_Regression,Baja,Baja
machala,2006-09-01,1,Logistic_Regression,Media,Baja
portoviejo,2006-09-01,1,Logistic_Regression,Baja,Baja
puyo,2006-09-01,1,Logistic_Regression,Media,Baja
quito,2006-09-01,1,Logistic_Regression,Media,Media
riobamba,2006-09-01,1,Logistic_Regression,Baja,Baja
salinas,2006-09-01,1,Logistic_Regression,Baja,Baja
tena,2006-09-01,1,Logistic_Regression,Alta,Media
babahoyo,2006-10-01,1,Logistic_Regression,Media,Alta
cuenca,2006-10-01,1,Logistic_Regression,Media,Baja
esmeraldas,2006-10-01,1,Logistic_Regression,Baja,Baja
guayaquil,2006-10-01,1,Logistic_Regression,Media,Media
loja,2006-10-01,1,Logistic_Regression,Media,Media
machala,2006-10-01,1,Logistic_Regression,Baja,Baja
portoviejo,2006-10-01,1,Logistic_Regression,Baja,Baja
puyo,2006-10-01,1,Logistic_Regression,Media,Media
quito,2006-10-01,1,Logistic_Regression,Alta,Alta
riobamba,2006-10-01,1,Logistic_Regression,Media,Media
salinas,2006-10-01,1,Logistic_Regression,Baja,Baja
tena,2006-10-01,1,Logistic_Regression,Media,Alta
babahoyo,2006-11-01,1,Logistic_Regression,Alta,Media
cuenca,2006-11-01,1,Logistic_Regression,Media,Media
esmeraldas,2006-11-01,1,Logistic_Regression,Alta,Media
guayaquil,2006-11-01,1,Logistic_Regression,Baja,Media
loja,2006-11-01,1,Logistic_Regression,Media,Media
machala,2006-11-01,1,Logistic_Regression,Media,Baja
portoviejo,2006-11-01,1,Logistic_Regression,Baja,Baja
puyo,2006-11-01,1,Logistic_Regression,Alta,Media
quito,2006-11-01,1,Logistic_Regression,Alta,Alta
riobamba,2006-11-01,1,Logistic_Regression,Media,Media
salinas,2006-11-01,1,Logistic_Regression,Baja,Baja
tena,2006-11-01,1,Logistic_Regression,Alta,Alta
babahoyo,2006-12-01,1,Logistic_Regression,Alta,Alta
cuenca,2006-12-01,1,Logistic_Regression,Alta,Media
esmeraldas,2006-12-01,1,Logistic_Regression,Alta,Alta
guayaquil,2006-12-01,1,Logistic_Regression,Alta,Media
loja,2006-12-01,1,Logistic_Regression,Alta,Media
machala,2006-12-01,1,Logistic_Regression,Media,Media
portoviejo,2006-12-01,1,Logistic_Regression,Media,Baja
puyo,2006-12-01,1,Logistic_Regression,Alta,Alta
quito,2006-12-01,1,Logistic_Regression,Alta,Alta
riobamba,2006-12-01,1,Logistic_Regression,Media,Alta
salinas,2006-12-01,1,Logistic_Regression,Baja,Baja
tena,2006-12-01,1,Logistic_Regression,Alta,Alta
babahoyo,2007-01-01,1,Logistic_Regression,Alta,Alta
cuenca,2007-01-01,1,Logistic_Regression,Media,Media
esmeraldas,2007-01-01,1,Logistic_Regression,Alta,Alta
guayaquil,2007-01-01,1,Logistic_Regression,Media,Alta
loja,2007-01-01,1,Logistic_Regression,Alta,Alta
machala,2007-01-01,1,Logistic_Regression,Media,Media
portoviejo,2007-01-01,1,Logistic_Regression,Media,Alta
puyo,2007-01-01,1,Logistic_Regression,Baja,Alta
quito,2007-01-01,1,Logistic_Regression,Alta,Alta
riobamba,2007-01-01,1,Logistic_Regression,Baja,Media
salinas,2007-01-01,1,Logistic_Regression,Baja,Baja
tena,2007-01-01,1,Logistic_Regression,Media,Alta
babahoyo,2007-02-01,1,Logistic_Regression,Media,Alta
cuenca,2007-02-01,1,Logistic_Regression,Media,Media
esmeraldas,2007-02-01,1,Logistic_Regression,Media,Alta
guayaquil,2007-02-01,1,Logistic_Regression,Media,Alta
loja,2007-02-01,1,Logistic_Regression,Media,Media
machala,2007-02-01,1,Logistic_Regression,Media,Alta
portoviejo,2007-02-01,1,Logistic_Regression,Alta,Alta
puyo,2007-02-01,1,Logistic_Regression,Media,Media
quito,2007-02-01,1,Logistic_Regression,Media,Alta
riobamba,2007-02-01,1,Logistic_Regression,Baja,Media
salinas,2007-02-01,1,Logistic_Regression,Baja,Baja
tena,2007-02-01,1,Logistic_Regression,Media,Alta
babahoyo,2007-03-01,1,Logistic_Regression,Alta,Alta
cuenca,2007-03-01,1,Logistic_Regression,Media,Media
esmeraldas,2007-03-01,1,Logistic_Regression,Alta,Alta
guayaquil,2007-03-01,1,Logistic_Regression,Alta,Alta
loja,2007-03-01,1,Logistic_Regression,Media,Media
machala,2007-03-01,1,Logistic_Regression,Alta,Media
portoviejo,2007-03-01,1,Logistic_Regression,Alta,Alta
puyo,2007-03-01,1,Logistic_Regression,Media,Media
quito,2007-03-01,1,Logistic_Regression,Alta,Alta
riobamba,2007-03-01,1,Logistic_Regression,Media,Media
salinas,2007-03-01,1,Logistic_Regression,Media,Baja
tena,2007-03-01,1,Logistic_Regression,Alta,Alta
babahoyo,2007-04-01,1,Logistic_Regression,Alta,Alta
cuenca,2007-04-01,1,Logistic_Regression,Media,Media
esmeraldas,2007-04-01,1,Logistic_Regression,Alta,Alta
guayaquil,2007-04-01,1,Logistic_Regression,Alta,Alta
loja,2007-04-01,1,Logistic_Regression,Media,Media
machala,2007-04-01,1,Logistic_Regression,Media,Alta
portoviejo,2007-04-01,1,Logistic_Regression,Media,Alta
puyo,2007-04-01,1,Logistic_Regression,Media,Alta
quito,2007-04-01,1,Logistic_Regression,Alta,Alta
riobamba,2007-04-01,1,Logistic_Regression,Media,Media
salinas,2007-04-01,1,Logistic_Regression,Media,Baja
