modelo,k_features,fold,macro_f1,balanced_accuracy,recall_alta,f1_alta,recall_baja,f1_baja,recall_media,f1_media
Random_Forest,80,F2,0.35084085392070014,0.35180106609461587,0.32558139534883723,0.3169811320754717,0.4027777777777778,0.3945578231292517,0.3270440251572327,0.34098360655737703
Random_Forest,80,F3,0.38410173939606,0.38395575341884064,0.3916083916083916,0.398576512455516,0.36428571428571427,0.3617021276595745,0.3959731543624161,0.3920265780730897
Random_Forest,80,F4,0.3588246420181853,0.35982125359320155,0.44660194174757284,0.431924882629108,0.30319148936170215,0.3202247191011236,0.32967032967032966,0.32432432432432434
Random_Forest,100,F1,0.3087888952861333,0.31327145362835135,0.14285714285714285,0.1694915254237288,0.41397849462365593,0.40848806366047746,0.3829787234042553,0.34838709677419355
Random_Forest,100,F2,0.35145093070499156,0.35124750134074395,0.34108527131782945,0.3247232472324723,0.3541666666666667,0.3722627737226277,0.3584905660377358,0.3573667711598746
Random_Forest,100,F3,0.37058023505497445,0.37063886896101655,0.35664335664335667,0.37362637362637363,0.39285714285714285,0.3793103448275862,0.3624161073825503,0.3588039867109635
Random_Forest,100,F4,0.34925460806937975,0.3510144575523629,0.44660194174757284,0.4309133489461358,0.2712765957446808,0.2897727272727273,0.33516483516483514,0.32707774798927614
Random_Forest,120,F1,0.29816340503129973,0.3048915471015677,0.11428571428571428,0.13559322033898305,0.4032258064516129,0.40106951871657753,0.3971631205673759,0.35782747603833864
Random_Forest,120,F2,0.34501547834881174,0.3459332797035737,0.35658914728682173,0.34074074074074073,0.3541666666666667,0.35664335664335667,0.3270440251572327,0.33766233766233766
Random_Forest,120,F3,0.3588851570988494,0.35940927081866675,0.34265734265734266,0.3602941176470588,0.4,0.37966101694915255,0.33557046979865773,0.3367003367003367
Random_Forest,120,F4,0.3582847546777895,0.3609950264567079,0.470873786407767,0.44907407407407407,0.26595744680851063,0.29850746268656714,0.34615384615384615,0.32727272727272727
Random_Forest,150,F1,0.2924727733264276,0.2978756087198091,0.11428571428571428,0.1348314606741573,0.42473118279569894,0.41578947368421054,0.3546099290780142,0.32679738562091504
Random_Forest,150,F2,0.3405510329877519,0.3402056620025027,0.3023255813953488,0.2943396226415094,0.3472222222222222,0.3597122302158273,0.3710691823899371,0.367601246105919
Random_Forest,150,F3,0.36813589051212814,0.3683578166799643,0.34265734265734266,0.3563636363636364,0.4,0.3916083916083916,0.3624161073825503,0.3564356435643564
Random_Forest,150,F4,0.35457420914837073,0.3564505108607567,0.44660194174757284,0.4289044289044289,0.2765957446808511,0.29971181556195964,0.34615384615384615,0.3351063829787234
Random_Forest,192,F1,0.30769916846689777,0.31654955278839975,0.10476190476190476,0.12643678160919541,0.41935483870967744,0.42048517520215634,0.425531914893617,0.3761755485893417
Random_Forest,192,F2,0.353577781622584,0.353999073667788,0.34108527131782945,0.3295880149812734,0.375,0.37630662020905925,0.34591194968553457,0.3548387096774194
Random_Forest,192,F3,0.3683982640358479,0.3686893643269482,0.35664335664335667,0.37777777777777777,0.40714285714285714,0.38513513513513514,0.3422818791946309,0.3422818791946309
Random_Forest,192,F4,0.36391859113440694,0.36691628965952455,0.46116504854368934,0.4387990762124711,0.26595744680851063,0.29411764705882354,0.37362637362637363,0.35883905013192613
XGBoost,40,F1,0.32694832944832947,0.3309551045309453,0.17142857142857143,0.18,0.3817204301075269,0.4034090909090909,0.4397163120567376,0.3974358974358974
XGBoost,40,F2,0.3286734540693654,0.3302171192693351,0.3643410852713178,0.34057971014492755,0.3055555555555556,0.3076923076923077,0.32075471698113206,0.33774834437086093
XGBoost,40,F3,0.3495970199321512,0.35061057510721944,0.32167832167832167,0.34980988593155893,0.42142857142857143,0.3933333333333333,0.3087248322147651,0.30564784053156147
XGBoost,40,F4,0.35196807052663753,0.3559552751868389,0.5048543689320388,0.465324384787472,0.2553191489361702,0.2696629213483146,0.3076923076923077,0.3209169054441261
XGBoost,60,F1,0.3023825673362515,0.303559172467889,0.19047619047619047,0.20100502512562815,0.3655913978494624,0.37057220708446864,0.3546099290780142,0.33557046979865773
XGBoost,60,F2,0.35786669030340557,0.3609648481302716,0.3643410852713178,0.34306569343065696,0.4166666666666667,0.39603960396039606,0.3018867924528302,0.3344947735191638
XGBoost,60,F3,0.3759800182596767,0.37525695780729346,0.35664335664335667,0.38783269961977185,0.4,0.3875432525951557,0.3691275167785235,0.3525641025641026
